name,hours,website,storetype,location,phonenumber,image,mapurl
ATN Corp: Night Vision and Thermal Imaging Optics,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.atncorp.com/,Store,Upper Level across from the Food Court,(737)931-1408,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/32134.png?yocs=D_NA_,
Attic Salt,Monday to Thursday 11AM - 8PM***Friday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://www.atticsalt.com/,Store,Lower Level Dillard's Wing next to Dillard's Men & Children,(216)245-3757,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/28428.png?yocs=D_NA_,
Auntie Anne's Pretzels,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.auntieannes.com/,Restaurant,Upper Level across from the Food Court,(512)329-5831,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/377.png?yocs=D_NA_,
Aveda Store,Monday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://www.aveda.com/,Store,Upper Level Macy's Court next to The Lego Store,(512) 732-2266,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/387.png?yocs=D_NA_,
Avis Rent A Car,Monday to Friday 8AM - 6PM***Saturday to Sunday 9AM - 1PM,https://www.avis.com/en/locations/us/tx/austin/z1b,Store,Upper Level across from JD Sports,(512)330-0109,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/15378.png?yocs=D_NA_,
Baby Gap,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.gap.com/browse/category.do?cid=94859&departmentRedirect=true&departmentId=166#pageId=0,Store,Upper Level Nordstrom Wing across from American Eagle,(512)328-5301,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/3.png?yocs=D_NA_,
Banana Republic,Monday to Thursday 11AM - 7PM***Friday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://bananarepublic.gap.com/?irgwc=1&clickid=V-D3eyU9FxyKRfT3Ic2cdU6JUkCRKBRt0TdKUU0&ap=6&tid=braff995073&siteID=brafcid383276,Store,Lower Level Dillard's Wing next to Oakley,(512)328-4484,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/450.png?yocs=D_NA_,
Barton Creek Eyecare,Monday to Thursday 11AM - 6PM***Friday to Saturday 10AM - 6PM***Sunday 12PM - 5:15PM,https://www.bartoncreekeyecare.com,Store,Lower Level Dillard's Wing next to Oakley,(512)306-8949,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/450.png?yocs=D_NA_,
Bath & Body Works,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.bathandbodyworks.com/,Store,Lower Level Nordstrom Wing near J. Crew,(512) 732-2686,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/494.png?yocs=D_NA_,
BoxLunch,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.boxlunch.com/,Store,Upper Level Dillard's Wing near Victoria's Secret,(737)273-7427,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/26192.png?yocs=D_NA_,
Buckle,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.buckle.com/,Store,Upper Level Dillard's Wing near Victoria's Secret,(512)306-1855,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/759.png?yocs=D_NA_,
Build-A-BearWorkshop®,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.buildabear.com/,Store,Upper Level Nordstrom Wing across from Gap,(512)347-0620,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/768.png?yocs=D_NA_,
CellaxsPhoneRepair,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://cellaxs.com/locations/cellaxs-phone-repair-in-barton-creek-square-tx/,Store,Upper Level Nordstrom Wing near The Lego Store,(512)503-0980,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/34339.png?yocs=D_NA_,
Champs,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://champssports.4xc4ep.net/c/5536174/764042/11069,Store,Lower Level Dillard's Wing near Hallmark,(512)329-0820,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1021.png?yocs=D_NA_,
Charleys Philly Steaks,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.charleys.com/,Restaurant,Upper Level Food Court next to Chick-fil-A,(512)514-0070,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1035.png?yocs=D_NA_,
Chick-fil-A,Monday to Saturday 11AM - 8PM***Sunday Closed,http://www.chick-fil-a.com/,Restaurant,Upper Level Food Court near Marble Slab Creamery,(512)523-6463,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1073.png?yocs=D_NA_,
Chico's,Monday to Thursday 11AM - 7PM***Friday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,https://chicos.pxf.io/c/5536174/1388744/16588,Store,Lower Level Dillard's Wing near Banana Republic,(512)327-8907,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1074.png?yocs=D_NA_,
Claire's,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.claires.com/us/,Store,Lower Level near The Cheesecake Factory and AMC Theater,(512)329-9064,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/6845.png?yocs=D_NA_,
Coach,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.coach.com/,Store,Lower Level Nordstrom Wing near Bath & Body Works,(512)330-9929,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1200.png?yocs=D_NA_,
Cotton On / Cotton On Kids,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.cottonon.com/,Store,Upper Level Dillard's Wing next to Knockout Wear,(512)306-7394,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/20050.png?yocs=D_NA_,
Crystals & More,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Upper Level Nordstrom Wing near Build-A-Bear Workshop,(737)235-2933,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/34627.png?yocs=D_NA_,
Cuadra,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://cuadrashop.com/,Store,Lower Level Nordstrom Wing next to Altar'd State,(737)203-9096,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/27977.png?yocs=D_NA_,
Dallas Cowboys Pro Shop,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://shop.dallascowboys.com/,Store,Upper Level Nordstrom Wing near Sola Salons,(972) 785-4519,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1460.png?yocs=D_NA_,
Dillard's Men and Children,Monday to Saturday 11AM - 8PM***Sunday 12PM - 6PM,http://www.dillards.com/sec/storehomepageservlet?storenumber=0733,Store,Anchor,(512)327-6100,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1584.png?yocs=D_NA_,
Dillard's Women & Home,Monday to Saturday 11AM - 8PM***Sunday 12AM - 6PM,http://www.dillards.com/sec/storehomepageservlet?storenumber=0733,Store,Anchor,(512)327-6100,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1584.png?yocs=D_NA_,
Disney Junior Play Zone,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Entertainment,Lower Level Dillard's Wing in front of JCPenney and Shoe Palace,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/28784.png?yocs=D_NA_,
Earthbound Trading Company,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.earthboundtrading.com/,Store,Lower Level Nordstrom Wing near Anthropologie,(737)236-4982,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1693.png?yocs=D_NA_,
El Palaciode La Quinceañera,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Lower Level near Old Navy,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/36040.png?yocs=D_NA_,
Empire Jewelers,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://empirejewelersofficial.com/,Store,Lower Level near Journeys,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/35426.png?yocs=D_NA_,
Express,Monday to Saturday 11AM - 7PM***Sunday 12PM - 6PM,https://www.express.com/,Store,Upper Level Dillard's Wing across from Forever 21,(512) 328-0662,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1846.png?yocs=D_NA_,
Fabletics,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.fabletics.com/,Store,Lower Level Nordstrom Wing next to J.Crew,(512) 710-1611,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/26932.png?yocs=D_NA_,
Fan Outfitters,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,,Store,Lower Level Dillard's Wing near Hallmark,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/35642.png?yocs=D_NA_,
Fast Fix Jewelry & Watch Repairs,Monday to Saturday 11AM - 6PM***Sunday 12PM - 6PM,https://www.fastfix.com,Store,Upper Level Macy's Court near Macy's,(512)328-0864,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/1928.png?yocs=D_NA_,
Food Court ,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.simon.com/mall/barton-creek-square/stores?type=stores&id=2,Restaurant,Upper Level near JCPenney,,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/29829.png?yocs=D_NA_,
Foot Locker,***Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM******,https://footlocker.8s4u9r.net/c/5536174/764040/11068,Store,Lower Level next to Zumiez,(512)327-1253,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2000.png?yocs=D_NA_,
Forever21,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.forever21.com/,Store,Upper Level Dillard's Wing next to Dillard's Women & Home,(512)814-4302 ,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2007.png?yocs=D_NA_,
FOSSIL ,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.tkqlhce.com/click-101198360-13350936,Store,Lower Level Dillard's Wing next to Apple,(512)643-8383 ,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2019.png?yocs=D_NA_,
Four Brothers,Monday to Tuesday Closed***Wednesday to Thursday 12PM - 7PM***Friday to Saturday 12PM - 8PM***Sunday 12PM - 6PM,https://www.fourbrothersatx.com/,Restaurant,Upper Level Food Court next to Sarku Japan,(512)554-5650,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/31038.png?yocs=D_NA_,
Francesca's Collections,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.francescas.com/,Store,Upper Level Dillard's Wing next to The Body Shop,(512)808-5040 ,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/9182.png?yocs=D_NA_,
GameStop,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.gamestop.com/,Store,Lower Level across from The Cheesecake Factory,(512)329-5851,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/5588.png?yocs=D_NA_,
Gap,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM***,https://gap.igs4ds.net/c/5536174/383244/5553,Store,Upper Level Nordstrom Wing across from American Eagle,(512) 327-8112,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2.png?yocs=D_NA_,
GapKids,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.gap.com/products/gap-kids.jsp,Store,Upper Level Nordstrom Wing across from American Eagle,(512) 327-8112,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/4.png?yocs=D_NA_,
Garage,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.shopgarageonline.com/home/index.jsp,Store,Upper Level near the Food Court,(512) 732-2541,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/21026.png?yocs=D_NA_,
Green Biotics,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://green-biotics.com/,Store,Upper Level Dillard's Wing next to Cotton On/Cotton On Kids,(614) 592-9909,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/28762.png?yocs=D_NA_,
Hallmark,Monday to Thursday 11AM - 7PM***Friday to Saturday 11AM - 8PM***Sunday 12PM - 6PM,http://www.hallmark.com/,Store,Lower Level Dillard's Wing next to Dillard's Women & Home,(512) 327-7643,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2416.png?yocs=D_NA_,
Helzberg Diamonds,Monday to Thursday 11AM - 6PM***Friday to Saturday 11AM - 8PM***Sunday 12PM - 6PM,https://www.helzberg.com/,Store,Upper Level Macy's Court near Victoria's Secret,(512) 327-6921,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/o~/v~4b.32f.0.0/https://assets.simon.com/tenantlogos/2485.png,
HollisterCo,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.hollisterco.com/,Store,Upper Level Nordstrom Wing across from Gap,(512) 306-1172,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2522.png?yocs=D_NA_,
Hot Topic,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.hottopic.com/,Store,Upper Level next to Auntie Anne's,(512) 328-1106,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2567.png?yocs=D_NA_,
Icing,Monday to Sunday 12PM - 6PM,http://www.icing.com/us/,Store,Upper Level across from the Food Court,(512) 327-3141,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/13191.png?yocs=D_NA_,
Impossible Kicks,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://impossiblekicks.com/,Store,Lower Level near Tillys,(517) 930-2980,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/34093.png?yocs=D_NA_,
J. Jill ,Monday to Saturday 10AM - 8PM***Sunday 12PM - 6PM,http://www.jjill.com/,Store,Lower Level Nordstrom Wing across from Anthropologie,(512) 330-1600,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2729.png?yocs=D_NA_,
J.Crew,Monday to Thursday 11AM - 8PM***Friday to Saturday 11AM - 9PM***Sunday 12PM - 6PM,https://www.jdoqocy.com/click-101198360-157348177,Store,Lower Level Nordstrom Wing near Bath & Body Works,(512) 329-6447,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2727.png?yocs=D_NA_,
James Avery Artisan Jewelry,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,http://www.jamesavery.com/,Store,Lower Level Nordstrom Wing next to J.Jill,(512) 327-6342,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2748.png?yocs=D_NA_,
Janie and Jack,Monday to Wednesday 11AM - 6PM***Thursday to Saturday 10AM - 7PM***Sunday 12PM - 6PM,https://imp.i350665.net/c/5536174/843759/11793,Store,Upper Level Dillard's Wing next to Dillard's Men & Children,(512)306-1773,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/7030.png?yocs=D_NA_,
JCPenney,Monday to Friday 11AM - 8PM***Saturday 10AM - 9PM***Sunday 11AM - 7PM,https://www.jcpenney.com/,Store,Anchor,(512)327-6300 ,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2774.png?yocs=D_NA_,
JCPenney Portraits,Monday to Friday 11AM - 8PM***Saturday 10AM - 9PM***Sunday 11AM - 7PM,http://www.jcpportraits.com/,Store,Anchor,(512)329-8280,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2778.png?yocs=D_NA_,
JD Sports,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://click.linksynergy.com/deeplink?id=4GQRQoBz/cQ&mid=43953&murl=https%3A%2F%2Fwww.jdsports.com%2F,Store,Upper Level near the Food Court,(512)328-5325,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/29553.png?yocs=D_NA_,
Journeys,Monday to Thursday 10AM - 8PM***Friday to Saturday 10AM - 9PM***Sunday 12PM - 6PM,https://www.anrdoezrs.net/click-101198361-15735284,Store,Lower Level next to Spencer's,(512)327-7164,https://cdn-fsly.yottaa.net/555a305b2bb0ac71b9002d22/4a6e24e07e33013b5e040ead9ecbf798.yottaa.net/v~4b.32f.0.0/tenantlogos/2853.png?yocs=D_NA_,
